date,sku_id,store_id,supplier_id,is_true_baseline,units_sold,promo_flag,stock_out_flag,stock_on_hand,lead_time_days,effective_price,price_index,promo_intensity,lag_units_7,lag_units_28,roll_mean_28d,lt_rolling_mean_30d,lt_rolling_std_30d,supplier_cv,stock_cover_days,required_safety_stock,safety_stock_gap,under_buffered_flag
2021-05-06,SKU0001,STORE0001,S044,0,172,1,0,296,5,4.992000000000001,0.8000000000000002,0.2,201.0,118.0,129.17857142857142,6.6,2.1908902300206643,0.3084681754509043,2.3518541850405272,533.6550880460609,-237.65508804606088,1
2021-05-10,SKU0001,STORE0001,S048,1,103,0,0,225,7,6.24,1.0,0.0,124.0,7.0,126.21428571428572,7.4,1.816590212458495,0.3102185270687608,1.622027441614736,496.66757912930393,-271.66757912930393,1
2021-05-28,SKU0001,STORE0001,S037,1,112,0,0,292,6,6.24,1.0,0.0,62.0,65.0,136.35714285714286,6.2,0.4472135954999578,0.3084542729455699,2.7216790256282564,262.53673932727725,29.46326067272275,0
2021-05-29,SKU0001,STORE0001,S014,0,184,1,0,283,7,4.992000000000001,0.8000000000000002,0.2,136.0,124.0,138.03571428571428,6.6,1.3416407864998738,0.3103407898821775,2.473136938878187,357.52067448068306,-74.52067448068306,1
2021-06-02,SKU0001,STORE0001,S043,1,216,0,0,285,4,6.24,1.0,0.0,129.0,143.0,144.67857142857142,5.0,2.0,0.3082406769329207,2.067342516686407,506.0175811700926,-221.01758117009263,1
2021-06-15,SKU0001,STORE0001,S028,0,268,1,0,321,7,5.304,0.85,0.15,175.0,143.0,158.96428571428572,6.6,2.792848008753788,0.3083420165975531,1.886638785498322,830.1357670171321,-509.13576701713214,1
2021-06-16,SKU0001,STORE0001,S026,0,344,1,0,225,6,5.304,0.85,0.15,103.0,90.0,163.42857142857142,7.0,1.5811388300841898,0.3104833780269682,1.226628826789885,561.8870055204952,-336.8870055204952,1
2021-06-17,SKU0001,STORE0001,S047,1,175,0,0,441,6,6.24,1.0,0.0,257.0,270.0,172.5,6.8,1.6431676725154982,0.3084207457711594,2.0242530034288366,670.9661019512737,-229.96610195127369,1
2021-06-18,SKU0001,STORE0001,S047,1,164,0,0,313,5,6.24,1.0,0.0,132.0,62.0,169.10714285714286,6.666666666666667,1.505545305418162,0.3084207457711594,1.5183571528066044,595.7874443553454,-282.78744435534543,1
2021-06-20,SKU0001,STORE0001,S048,1,236,0,0,282,8,6.24,1.0,0.0,155.0,184.0,173.57142857142858,7.333333333333333,1.632993161855452,0.3102185270687608,1.3852563531266864,627.0983433238733,-345.09834332387334,1
2021-06-22,SKU0001,STORE0001,S014,1,159,0,0,381,4,6.24,1.0,0.0,268.0,92.0,176.57142857142858,6.666666666666667,1.2110601416389966,0.3103407898821775,1.8267035705993189,506.7732482778346,-125.77324827783464,1
2021-06-24,SKU0001,STORE0001,S048,1,158,0,0,356,4,6.24,1.0,0.0,175.0,66.0,180.14285714285714,7.428571428571429,1.5118578920369088,0.3102185270687608,2.1317237621331606,509.1501645566138,-153.1501645566138,1
2021-06-25,SKU0001,STORE0001,S010,1,185,0,0,489,9,6.24,1.0,0.0,164.0,112.0,183.42857142857144,5.2,1.9235384061671343,0.3081380225224308,2.971336111672932,571.0235857740063,-82.02358577400628,1
2021-06-28,SKU0001,STORE0001,S020,1,238,0,0,362,1,6.24,1.0,0.0,114.0,152.0,178.75,7.2,2.5884358211089573,0.3082092919427658,2.636817421725336,658.511867344601,-296.511867344601,1
2021-07-06,SKU0001,STORE0001,S037,1,108,0,0,322,9,6.24,1.0,0.0,295.0,175.0,176.07142857142858,6.166666666666667,0.408248290463863,0.3084542729455699,1.8877611270285684,302.80909888186335,19.19090111813665,0
2021-07-10,SKU0001,STORE0001,S043,1,247,0,0,403,7,6.24,1.0,0.0,226.0,209.0,176.67857142857142,4.833333333333333,1.834847859269718,0.3082406769329207,2.3825872651090747,570.3935579231322,-167.39355792313222,1
2021-07-20,SKU0001,STORE0001,S028,1,175,0,0,444,5,6.24,1.0,0.0,163.0,159.0,180.17857142857144,6.666666666666667,2.503331114069145,0.3083420165975531,2.161324666708855,888.5653936385935,-444.5653936385935,1
2021-07-26,SKU0001,STORE0001,S043,0,217,1,0,215,6,5.6160000000000005,0.9,0.1,265.0,238.0,183.53571428571428,5.142857142857143,1.864454471471609,0.3082406769329207,1.2479197881936008,578.3350229227578,-363.33502292275784,1
2021-07-28,SKU0001,STORE0001,S039,1,112,0,0,216,6,6.24,1.0,0.0,133.0,168.0,180.78571428571428,6.8,1.0954451150103324,0.3090501345727116,1.2373087879202,403.1863409018165,-187.18634090181644,1
2021-08-04,SKU0001,STORE0001,S059,1,185,0,0,407,5,6.24,1.0,0.0,112.0,126.0,184.46428571428572,6.8,2.04939015319192,0.3073502992299263,2.5666504805825547,584.5663631212943,-177.56636312129433,1
2021-08-05,SKU0001,STORE0001,S050,1,95,0,0,364,6,6.24,1.0,0.0,124.0,174.0,186.57142857142856,5.8,1.3038404810405295,0.3116418514693667,2.1538334092697675,419.93337074951233,-55.933370749512335,1
